X0 Y0 helicalID MicrographName ShiftX ShiftY AngleRot AngleTilt AnglePsi
3965.446882 3177.798742 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.140838 0.314088 -82.54276 88.288590 145.569089
3893.804287 3134.215726 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -15.68591 -6.03241 -82.63060 88.213895 145.686268
3834.161693 3101.632710 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 3.140838 4.621088 -76.30176 87.023154 145.921350
3755.519098 3043.049694 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -1.68591 -1.03241 -104.69633 96.495176 146.507274
3729.876504 3027.466678 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -0.20566 0.967588 -75.69874 106.266135 145.568449
3666.233909 2979.883662 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 8.487338 4.967588 -61.52588 69.434545 144.867899
5353.982787 3486.885243 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.314088 0.794338 -80.52293 90.901298 146.741166
5301.845718 3451.529589 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 6.140838 -0.68591 -75.78464 103.257000 144.748631
5249.708649 3416.173936 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 -0.20566 -80.43499 90.826741 146.506801
5172.571580 3375.818282 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -5.03241 -1.37891 -105.73205 67.077654 146.504656
5146.434511 3347.462629 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.140838 0.140838 -80.52302 91.050527 146.389602
5095.297442 3312.106976 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.314088 -0.20566 -80.43499 90.826741 146.389613
5043.160372 3278.751322 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 0.140838 -80.34696 90.602968 146.272437
5043.023303 3278.395669 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 0.140838 -80.34696 90.602968 146.272437
4992.886234 3243.040015 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 -0.20566 -80.25902 90.528416 146.272447
4889.749165 3174.684362 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 -0.03241 -80.25893 90.379203 146.389635
4889.612096 3174.328708 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 -0.20566 -80.25893 90.379203 146.389635
4838.475026 3140.973055 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 0.140838 -80.08277 89.782480 146.389655
4735.337957 3071.617401 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 -0.03241 -79.90690 89.633381 146.389674
4684.200888 3037.261748 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 0.140838 -79.90680 89.484169 146.272485
4633.063819 3002.906094 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.140838 -0.20566 -79.81886 89.409617 146.272495
4582.926750 2968.550441 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 0.140838 -79.90671 89.334953 146.038109
4582.789681 2968.194787 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 0.140838 -79.90671 89.334953 146.038109
4531.652611 2933.839134 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 -0.03241 -79.90671 89.334953 146.038109
4480.515542 2898.483481 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.621088 -0.37891 -79.99455 89.260288 146.038099
4429.378473 2864.127827 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.621088 0.140838 -79.99446 89.111065 145.920910
4378.241404 2829.772174 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.314088 -0.20566 -79.90671 89.334953 146.038109
4328.104335 2795.416520 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.967588 0.314088 -79.90671 89.334953 145.920922
4277.967266 2760.060867 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 -0.03241 -79.81877 89.260399 145.920931
4226.830196 2725.705213 4 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.140838 -0.20566 -79.90671 89.334953 146.038109
